,place_api_company_name,bovag_matched_name,bovag_matched_name_score,place_api_address,bovag_matched_address,bovag_matched_address_score,formatted_phone_number,Bovag_Matched_Telephone,Bovag_Matched_Telephone_score,overall_similarity_score,formatted_address,place_id,plus_code,rating,reference,scope,types,user_ratings_total,business_status,geometry,icon,icon_background_color,icon_mask_base_uri,opening_hours,permanently_closed,price_level,photos,kvk_search_text,kvk_tradename,kvk_partnership_name,kvk_chamber_of_commerce,kvk_establishment_no,kvk_Address,kvk_other,Reviews,poitive_reviews,negative_reviews,duplicate_location,irregularities,duplicates_found,Bovag_registered,KVK_found,company_ratings
0,garage meer and bosch,car van der meer e.g.,0.476190476,tannhäuserstraat 4,Wattstraat 2 ,0.516129032,070 325 2635,174280482,0,0.330773169,"Tannhäuserstraat 4, 2555 JP Den Haag, Netherlands",ChIJz_nUZ6ixxUcRickIw5DHJgs,"{'compound_code': '367Q+84 The Hague, Netherlands', 'global_code': '9F46367Q+84'}",4.8,ChIJz_nUZ6ixxUcRickIw5DHJgs,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",44,OPERATIONAL,"{'location': {'lat': 52.0633256, 'lng': 4.237756399999999}, 'viewport': {'northeast': {'lat': 52.06469988029151, 'lng': 4.239087530291503}, 'southwest': {'lat': 52.06200191970851, 'lng': 4.236389569708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,{'open_now': True},Null,Null,"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102633292607691585433"">andries Toren</a>'], 'photo_reference': 'AeJbb3eIX2Dn9txA4Cf7DWlyAlIOwBcKRPJakUQffiiJwwSJr71od9-oCnsdBDKtF1VKWLK5Td9uQ8xI92ihaJOcXpjm8ur69tETjqB9kuCYwAVpa1F4jsbEltryfDkIPO7DoWL2BFg05iL-BnV3TPDfMvwuQ4IOfVThwCJhNHwm7FfJe71q', 'width': 4128}]",Garage Meer en Bosch,Garage Meer en Bosch,Null,58044477,27426467,Tannhäuserstraat 4 2555JP s-Gravenhage Sigarenmakerstraat 1 5232BJ s-Hertogenbosch Nevenvestiging,58044477 0000 000027426467 Garage  Meer en Bosch Handel in en reparatie van personenautos en lichte bedrijfsautos (geen import van nieuwe) Keuring en controle van machines ... 58986677 0007 000050666401 garage  meer Bochane Auto IV Den Bosch Bochane Auto IV B.V. Handel in en reparatie van personenautos en lichte bedrijfsautos (geen import van ...,"['Great service Polite fast professional personal attention  thank you see you next time', 'Top service  ', 'Top', 'As alwaysgreat ', 'I never give 5 stars otherwise they would have gotten 5 Fine']",3,2,Null,Yes,No,No,Yes,Yes
1,zandee classics,garage zander b.v.,0.363636364,dotterbloemlaan 87,Nijverheidsweg 8 ,0.285714286,06 24563917,072-5330116,0,0.216450216,"Dotterbloemlaan 87, 2555 TL Den Haag, Netherlands",ChIJo7scWyGxxUcRCs5OcMXRyWQ,"{'compound_code': '36CQ+5C The Hague, Netherlands', 'global_code': '9F4636CQ+5C'}",Null,ChIJo7scWyGxxUcRCs5OcMXRyWQ,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",Null,OPERATIONAL,"{'location': {'lat': 52.07044549999999, 'lng': 4.238592199999999}, 'viewport': {'northeast': {'lat': 52.07177838029149, 'lng': 4.239876280291501}, 'southwest': {'lat': 52.0690804197085, 'lng': 4.237178319708496}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Null,Null,Null,"[{'height': 768, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108015569454446503049"">Arjaan Zandee</a>'], 'photo_reference': 'AeJbb3fJweSnti9IDApuENl_Gex6s6p1NWf_VxXD90WDsxKa33uL4mNjwOA22k4UYnjH3NfaHckcG44ndhQGbKoccAm0hA4dIoLso_FeW5qsKlRq3TJXN3Pd2_gLFZXj4_bIgFkR6gxg2V4BUpFcPKLv_L7CrN-dMdpMvjlJW67dqmDxQ_3G', 'width': 1536}]",Zandee Classics,Zandee Classics,Null,65683625,34385495,Dotterbloemlaan 87 2555TL s-Gravenhage,65683625 0000 000034385495 Zandee  Classics Handel in en reparatie van personenautos en lichte bedrijfsautos (geen import van nieuwe) Overige gespecialiseerde reparatie en ...,['Null'],0,0,Null,Yes,No,No,Yes,No
2,car doctor,docars,0.5,strausslaan 107,Provincialeweg 194 ,0.235294118,06 11127635,0162-499400,0,0.245098039,"Strausslaan 107, 2551 NB Den Haag, Netherlands",ChIJP0ZWMVixxUcRtlUOR0VakWw,"{'compound_code': '366Q+3C The Hague, Netherlands', 'global_code': '9F46366Q+3C'}",4.9,ChIJP0ZWMVixxUcRtlUOR0VakWw,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",16,CLOSED_TEMPORARILY,"{'location': {'lat': 52.0602065, 'lng': 4.2385934}, 'viewport': {'northeast': {'lat': 52.0615565302915, 'lng': 4.239944830291502}, 'southwest': {'lat': 52.0588585697085, 'lng': 4.237246869708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Null,TRUE,Null,"[{'height': 516, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102887340135034627509"">Bart v/d Mark</a>'], 'photo_reference': 'AeJbb3fEfhsrH20kbgz2Mcl98m7-3p6uXiTZy8eLgZnnX-3fCncFwwSwEMYInugCGaXznuC7mqe_v7-M50Wa45V-PODVkcpwombkNfVQL40_Kj7fLSDTkPU6RvhHNQC1lPP5cXw8RbGDp3_SH37kLgHR0BBWst_-6Ke6YmzxKj636YgzFgfa', 'width': 409}]",Autodoktertje,Autodoktertje,Null,71630864,39803856,Strausslaan 107 2551NB s-Gravenhage,71630864 0000 000039803856 Autodoktertje Handel in en reparatie van personenautos en lichte bedrijfsautos (geen import van nieuwe) www. autodoktertje .nl Eenmanszaak ...,"['On Sunday morning we discovered that our tire was flat I was able to leave a message via the handy site no fuss I got a call within half an hour Bart was quickly on site and he repaired the tire professionally and smoothly What a life saver Finally it was also very affordable on Sundays', 'I searched the Internet a business to my band and ended up with Auto Doktertje After I had read the great reviews I sent an email the next day had already made my car It was my first experience with Auto Doktertje but certainly not the last though I hope it provisionally obviously do not need to The agreements are fine and met all struck me as a reliable and professional impression In short you have problems with your car and look for a mechanic Auto Doktertje I can thoroughly recommend What is also positive you do not own without leaving ', 'A phone call and half an hour later he showed up Fast repair professional and reliable Happy with', 'Fast friendly and professional  Absolutely great', 'Good service fast and on timeAnd nets Highly recommended ']",5,0,Null,Yes,No,No,Yes,Yes
3,amac automotive consultation,p. consolation & sons automotive company b.v.,0.465753425,16 verdi street,Christiaan Huygensweg 28 -30,0.279069767,03 385 31 26,0181-312366,0,0.248274397,"Verdistraat 16, 2555 VD Den Haag, Netherlands",ChIJcY_dHQexxUcRsj5qsF1ICko,"{'compound_code': '368V+6F The Hague, Netherlands', 'global_code': '9F46368V+6F'}",Null,ChIJcY_dHQexxUcRsj5qsF1ICko,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",Null,OPERATIONAL,"{'location': {'lat': 52.06551229999999, 'lng': 4.2436981}, 'viewport': {'northeast': {'lat': 52.06693068029149, 'lng': 4.244995580291502}, 'southwest': {'lat': 52.06423271970849, 'lng': 4.242297619708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Null,Null,Null,Null,Amac Automotive Consultation,Amac Automotive Consultation,Null,27309420,463647,Verdistraat 14 2555VD s-Gravenhage,27309420 0000 000000463647 Amac  Automotive  Consultation Advisering op het gebied van informatietechnologie Groothandel en handelsbemiddeling in auto-onderdelen en ...,['Null'],0,0,Null,Yes,No,No,Yes,No
4,waaijenberg mobility brommobielen the hague,waaijenberg mobility e.g.,0.676470588,the savornin lohmanplein 3a,De Savornin Lohmanplein 5 ,0.79245283,070 325 6505,703256505,1,0.822974473,"De Savornin Lohmanplein 3A, 2566 AA Den Haag, Netherlands",ChIJ_S5iJgGxxUcRlAwjzHRD6tI,"{'compound_code': '369V+8R The Hague, Netherlands', 'global_code': '9F46369V+8R'}",4.4,ChIJ_S5iJgGxxUcRlAwjzHRD6tI,GOOGLE,"['car_rental', 'car_repair', 'store', 'point_of_interest', 'establishment']",48,OPERATIONAL,"{'location': {'lat': 52.0683695, 'lng': 4.2446014}, 'viewport': {'northeast': {'lat': 52.0697908302915, 'lng': 4.246006730291502}, 'southwest': {'lat': 52.0670928697085, 'lng': 4.243308769708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,{'open_now': True},Null,Null,"[{'height': 1512, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104990306741307712071"">Waaijenberg Mobiliteit Brommobielen Den Haag</a>'], 'photo_reference': 'AeJbb3e6GMbHrsIL2teeA1942klxwwd4Lc3AorLFs9DgpO7oidkFHpPlEIl6j-APMtJdFW_nUwIsm0Y0lf3TTPFbNsxmfoiSHHG4DfoBkVXtiNwHBHBlbO4BvldETgPFVx8-Omw4dDAermoUeFme_Xg8xKPqpOGoVDoLPSZHTdInoeY49U4P', 'width': 2016}]",Waaijenberg Mobiliteit Brommobielen Den Haag,Null,Null,Null,Null,Null,Null,"['Am in connection with holiday plans quickly friendly and professionally helped Many thanks', 'Easily accessible business located together with a Shell gas station Sells Microcar Ligier Canta mobility scooters scooters and today this place also gives driving lessons Staff is very customerfriendly cordial and hospitable as are the mechanics at the workplace Occasions shine through and through They also arrange private lease and insurance for youAlways there for you Welcome for a cuppa', 'Nice reception Everything about leasing was well arranged Even got a cake', 'Always super friendly and helpful', 'Waaijenberg has done a very good job my car drives like new I bought it from the wrong car dealer many things were wrong But they repaired it very nicely and professionally and washed it on time and all top I notice a very big difference while driving I want to say a big thank you to the mechanics and the nice sales people for the hard work  am so happy with it I will certainly have it maintained at Waaijenberg and if someone else ever comes I will certainly buy it there Thank you Waaijenberg The Hague']",5,0,Null,Yes,No,Yes,No,Yes
5,trading company santoro parts import,db expertise - db cars & import service,0.346666667,pluvierstraat 76,Huygensstraat 11 ,0.545454545,06 50485949,610740337,0,0.297373737,"Pluvierstraat 76, 2583 GJ Den Haag, Netherlands",ChIJ1a9hJ-2wxUcRub3kvqi0G5E,"{'compound_code': '37R6+W9 The Hague, Netherlands', 'global_code': '9F4637R6+W9'}",5,ChIJ1a9hJ-2wxUcRub3kvqi0G5E,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",1,OPERATIONAL,"{'location': {'lat': 52.0922503, 'lng': 4.260887499999999}, 'viewport': {'northeast': {'lat': 52.09360813029149, 'lng': 4.262255580291503}, 'southwest': {'lat': 52.09091016970849, 'lng': 4.259557619708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,{'open_now': True},Null,Null,"[{'height': 480, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111639895730046844099"">Handelsonderneming Santoro Onderdelen Import</a>'], 'photo_reference': 'AeJbb3cyhGTJcJKbp-5eARIckG83TnrmnimT_ymz0A-Db2TykNNGXzJRS7WFm-Wf0dF0C0m_kQAClAlkefupaB1ArEi_SMuHy2fre24U7JupS_UkMG3bqCEzMZepcLlEfRdd3PCCu-v3CrFMKAruLTtyocFVXDKMxNTgwBdI5COSiuLmmi_N', 'width': 640}]",Handelsonderneming Santoro Onderdelen Import,Handelsonderneming Santoro Onderdelen Import,Null,27126367,15639517,Pluvierstraat 76 2583GJ s-Gravenhage,27126367 0000 000015639517 import  onderdelen  Handelsonderneming  Santoro  Onderdelen  Import Handel in en reparatie van personenautos en lichte bedrijfsautos (geen import van nieuwe) ...,[],0,0,Null,Yes,No,No,Yes,Yes
6,welding company bcs,stern excluding hilversum,0.363636364,zeezwaluwhof 17,Zeverijnstraat 16 ,0.303030303,070 355 3070,035-6555355,0,0.222222222,"Zeezwaluwhof 17, 2583 SX Den Haag, Netherlands",ChIJHSopn-ywxUcRZuSLgkC5U6s,"{'compound_code': '37R7+JF The Hague, Netherlands', 'global_code': '9F4637R7+JF'}",5,ChIJHSopn-ywxUcRZuSLgkC5U6s,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",3,OPERATIONAL,"{'location': {'lat': 52.0915758, 'lng': 4.2636771}, 'viewport': {'northeast': {'lat': 52.0929509802915, 'lng': 4.264993480291503}, 'southwest': {'lat': 52.0902530197085, 'lng': 4.262295519708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Null,Null,Null,"[{'height': 270, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109690071037702756166"">Lasbedrijf BCS</a>'], 'photo_reference': 'AeJbb3dVPgxvynImtMraF5v9SvbwptJKciWyXEaQWKe8ziIhLtO5e9cKzpyTQFCfRJyACmwJxOv2Es1rt3Lebs-yXpnAVZPjg5dbEBtoKjPdSXyhDGud2dZ-1jbt57X8i078ieyI2b7AbWgLmcIu5CaVgoymnVezLvi0AZC7mZ5qSKYT7jvy', 'width': 480}]",Lasbedrijf BCS,Null,Null,Null,Null,Null,Null,"['Good welding good help and also very nice people', 'Fast and clear communication and agreements Flexible and creative Very professional and friendly What else do you want', 'Great welding topper']",3,0,Null,Yes,No,No,No,Yes
7,eco green auto clean,green and clean,0.742857143,houtrustweg 482,Rosmolenlaan 5 ,0.266666667,043 516 6956,348754225,0,0.336507937,"Houtrustweg 482, 2583 Den Haag, Netherlands",ChIJn5nT3pKwxUcRPZwRie050hU,"{'compound_code': '37V6+M9 The Hague, Netherlands', 'global_code': '9F4637V6+M9'}",Null,ChIJn5nT3pKwxUcRPZwRie050hU,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",Null,OPERATIONAL,"{'location': {'lat': 52.09415660000001, 'lng': 4.260956200000001}, 'viewport': {'northeast': {'lat': 52.0955411302915, 'lng': 4.262406780291503}, 'southwest': {'lat': 52.09284316970851, 'lng': 4.259708819708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Null,Null,Null,Null,Eco Green Auto Clean,Null,Null,Null,Null,Null,Null,['Null'],0,0,Null,Yes,No,No,No,No
8,kwikfit scheveningen car service,car service coopers scheveningen b.v.,0.463768116,westduinweg 186c,Verseveldtweg 24 ,0.424242424,070 354 5213,070 - 354 54 71,0,0.296003513,"Westduinweg 186C, 2583 AH Den Haag, Netherlands",ChIJhxZI_72wxUcRdZva6da0rDo,"{'compound_code': '37XC+CQ The Hague, Netherlands', 'global_code': '9F4637XC+CQ'}",3.8,ChIJhxZI_72wxUcRdZva6da0rDo,GOOGLE,"['car_repair', 'store', 'point_of_interest', 'establishment']",108,OPERATIONAL,"{'location': {'lat': 52.0986001, 'lng': 4.2719583}, 'viewport': {'northeast': {'lat': 52.09991463029149, 'lng': 4.273378030291502}, 'southwest': {'lat': 52.09721666970849, 'lng': 4.270680069708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,{'open_now': True},Null,Null,"[{'height': 3648, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105502907276086339255"">Autoservice KwikFit Scheveningen</a>'], 'photo_reference': 'AeJbb3fNKqpbc_5UeJahbriHlczPkv-YHhyCzUfDQK-p41xY4GdB2iOnbCQXLU_6DZkqu9lHwyUZe56Cjw_q2Rd7uSxjn3R5b-69yt0BZeAZGLduCsomI_PPcqOP7npouFzExBr2BsgBeHrJMCGf-KFwAY59NI6Vz1lwbS_oDurj77Rk2CgW', 'width': 5472}]",Autoservice KwikFit Scheveningen,Null,Null,Null,Null,Null,Null,"['I took my car for oil change to Kwifkit Scheveningen few month ago In few days later i started to have check engine warning and other different issues I took the car to another garage for oil change again and they confirmed that Kwifkit did not change any oil nor the oil filter So i paid to Kwikfit 130 euros for nothing These are real scammer watch out and never again Kwikfit', 'Very convenient location', 'Fast and efficient', 'Had a nail in my tire They said it cannot be patched because it is on the edge They told me they need to change the tire and I gave my permission 137 euro for the new tire When I came to pick up my car I saw they put the tire of different brand than the rest three tires without letting me now in advance Extremely unprofessional Since I didnt trust them anything I went to another service next to them and got my tire patched for 15 euro which I will use as a spare Btw previous set of tires I bought at Kwikfit They will never see me again', 'Not happy with them They repair only easy issues Motor damage is out of discussion']",2,3,Null,Yes,No,No,No,Yes
9,garage de jong,car company cees dejong,0.594594595,sea lock road 115,Zeesluisweg 115 ,0.363636364,070 355 0478,703550478,1,0.652743653,"Zeesluisweg 115, 2583 DP Den Haag, Netherlands",ChIJC89HnpawxUcREEL3xTULwqY,"{'compound_code': '37X8+8Q The Hague, Netherlands', 'global_code': '9F4637X8+8Q'}",4.5,ChIJC89HnpawxUcREEL3xTULwqY,GOOGLE,"['car_repair', 'point_of_interest', 'establishment']",35,OPERATIONAL,"{'location': {'lat': 52.0983505, 'lng': 4.2669778}, 'viewport': {'northeast': {'lat': 52.09965838029149, 'lng': 4.268406180291503}, 'southwest': {'lat': 52.09696041970849, 'lng': 4.265708219708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,{'open_now': True},Null,Null,"[{'height': 2808, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117814390294868611937"">Cassien Smit</a>'], 'photo_reference': 'AeJbb3e8-CFzBxywawTOGxwJQdL1qSppwUx2F55tld36T-cTKRWZEmuEckM2LOpfjbYqAFSv5c9vUBtlmxwvT1J8BGmvFyNW_YIOivtPqYlbD139h2Ga9rXXEqI4HOGcEPy6n4JtoOPgPW6-RlBvmhgfT0j0aWCPlr8fvTV5ygQ-j-mqIVTW', 'width': 3719}]",Garage De Jong,Garage De Jong,Garage de Jong V.O.F,27105639,1851322,Zeesluisweg 115 2583DP s-Gravenhage Industrieweg 2 e 2821AL Stolwijk Horstweg 18 8763MP Parrega Molenstraat 13 4756BA Kruisland Gemeentenweg 13 5106NK Dongen Hoofdkanaal WZ 113 7881AG Emmer-Compascuum Stationsweg West 31 3931EJ Woudenberg Molenweg 59 7914RS Noordscheschut,27105639 0000 000001851322 Garage  De  Jong Handel in en reparatie van personenautos en lichte bedrijfsautos (geen import van nieuwe) www.garagedejong.nl Eenmanszaak Het ... 54743206 0000 000011466898 de  Garage  de  Jong  Garage  de  Jong V.O.F Handel in en reparatie van personenautos en lichte bedrijfsautos (geen import van nieuwe) ... 69355975 0000 000037712705 Garage Bouwhuis de  Jong Handel in en reparatie van personenautos en lichte bedrijfsautos (geen import van nieuwe) www.bouwhuisdejong.nl ... 20013818 0000 000012305464 Garage  de  Jong Handel in en reparatie van personenautos en lichte bedrijfsautos (geen import van nieuwe) Eenmanszaak Handel in- en reparatie ... 17259236 0000 000009721053 Garage Oosterwaal- de  Jong Handel in en reparatie van personenautos en lichte bedrijfsautos (geen import van nieuwe) Detailhandel in en reparatie ... 04081869 0000 000013858459 Garage Marco de  Jonge Handel in en reparatie van personenautos en lichte bedrijfsautos (geen import van nieuwe) Eenmanszaak Autohandel 81300549 0001 000031883524 Garage  de  Jonge Van Dijk Handel in en reparatie van personenautos en lichte bedrijfsautos (geen import van nieuwe) www.garagedejongevandijk.nl ... 04012054 0000 000004115147 Garage  de  Jonge V.O.F. Benzinestations Vennootschap onder firma Exploitatie van een benzine tankstation Garagebedrijf,"['Very good experience  They are serious and honest', 'A nice and clean shop and the owner is a decent man who treated well my smart Recommended', 'Very bad garage We bought our car here which turned out to be a defect It just doesnt get resolved and you arent taken seriously I would not do business with the gentlemen You have been warned', 'Thank you for the fast servicecraftsmanshipVery customer friendlyThank you  top garage', 'Competent keep agreements Been coming here for maintenance and repairs for two years now Real professionals who know their business Friendly and good service Recommended']",4,1,Null,Yes,No,No,Yes,Yes
